,GDP,CPI,Unemployment,Interest_Rate,Gini,Active_Firms,Total_Loans,Total_Deposits,House_Price_Index,Affordability_Index,Trade_Balance,Exchange_Rate,Gov_Debt_GDP_Ratio,Leverage_Ratio,Shadow_Banking,Skills_Mismatch,Carbon_Intensity
0,143250.4357717725,3237.7768017078465,0.589,0.03099464913965608,0.4454734065058681,95,461802.3159498381,17217976.56984446,90,956.5542538802479,200000,1.0000549732456983,3.473071788782853,0,0.003358612379575608,0.26252004206654167,0.4998950232456983
10,94193.91077247825,3083.2104393653412,0.77,0.001,0.33383897920314065,77,6179559.911301329,21210436.24859389,92.98764206755823,1140.4975853234353,-180344.95160468793,0.9992064093863325,10,0.9323406479790596,0.0036277495212169867,0.2931228484671079,0.4944057926449209
20,84421.30751672425,2974.4152499968927,0.813,0.001,0.22211966569770292,67,10797912.697554445,25973403.818923324,98.02304628569284,1324.8621014706264,-252564.78304651324,0.9982575689973328,10,3.050598484276531,0.00454141549631197,0.3259018711673597,0.48874412582761406
30,79313.70912998328,2920.02687487723,0.844,0.001,0.12154096558064342,61,14849685.045852147,33863815.59676697,129.16390540565342,1310.8854013980597,-367621.26539123803,0.9973096296214524,10,7.952632474356632,0.012267408576328362,0.350135520702175,0.4830135807694966
40,86873.88409481574,2843.7887259432873,0.86,0.001,0.060973383004344406,57,18869993.52415662,47646840.46297935,136.15830229161634,1749.685463943765,-539676.7132818067,0.7970900723224759,10,17.438296867703137,0.010663413785033162,0.38885686502761774,0.4772566702660682
50,102333.28950457905,2768.1550365204835,0.876,0.001,0.028467099059820367,57,23748683.39675875,70087760.51730578,114.82516404075055,3051.933829262028,-803628.1358392042,0.6370665283119846,10,18.582197291802657,0.003722148986879702,0.42489651485611224,0.47150953386431754
60,140314.01492252696,2672.3484527960245,0.877,0.001,0.012526491052242461,57,30563878.300912447,106030320.75688589,151.30387381679307,3503.8865192994276,-1211955.6142152292,0.6364615737731987,10,13.085333179988805,0.004600238900692494,0.46357742792522083,0.4658124493993254
70,206972.39209312518,2599.2196023862903,0.875,0.001,0.005168952408892924,57,40696342.73992878,163600643.79859185,159.49717937328472,5128.637523291348,-1854232.0353918774,0.6358571936955995,10,9.314575416413016,0.006119483725127541,0.5040748230667711,0.46020435649860997
80,323012.84288558847,2515.5886713044238,0.879,0.001,0.0020712350577227756,57,56321986.71751245,255986356.92991766,210.1677041233352,6090.049800888703,-2885163.089609018,0.5082027100269458,10,7.802253104697119,0.006424565011072579,0.5339490330980418,0.4547284822740324
90,557072.386603922,2432.647494666771,0.883,0.001,0.0009169237350143966,57,80872665.93517207,405023941.07844645,221.54856420675827,9140.748497482151,-4550177.830238656,0.5077201237939685,10,6.300517100139368,0.018582643821608055,0.5701216158669781,0.44945881343632865
100,1170795.6877449278,2381.5854060112356,0.883,0.001,0.00020260567879848423,57,120173161.72597837,646511771.4622818,233.5457129667824,13841.225412564992,-7183681.772139332,0.5072379958219715,7.094360003342577,5.539863971452698,0.019307453147864178,0.6056152002916284,0.4446287034225991
110,2506750.3498502215,2381.255530338568,0.895,0.001,6.217248937900877e-15,57,183603940.49558154,1038943634.5707194,307.74065406637186,16880.18175113535,-11509417.408070851,0.40540506054063485,2.7499220968976448,5.165483639735072,0.009690462112604839,0.6422368035694992,0.440701317923114
120,5742308.910626634,2371.2020885193047,0.903,0.001,0,57,287119364.4625066,1677930265.799743,405.5065235929565,20689.31284918126,-18476199.69132322,0.40502009033654846,0.7473380284701485,5.385538922846678,0.01598721718248032,0.6734605386901641,0.4385750300804082
130,10138805.368602673,2364.359311125989,0.918,0.05283418731897881,0,57,368857738.3300863,2717172530.4203005,302.9440111347811,44846.11727827485,-30237307.298786186,0.4053476896328656,0.00823056642869653,2.4906233080722466,0.03076674963823535,0.7044291937930564,0.4392150242341722
140,25154191.453475602,2380.053153436329,0.917,0.059230576722143824,0,57,424969353.3320268,4410590834.708655,184.5217833778091,119514.09622130955,-47419116.261772215,0.32488573539514637,0,1.1213103792111896,0.046331593354499614,0.7340697320012979,0.4439260496874812
150,54110663.85614955,2352.7056732338247,0.914,0.059917383804620694,0,57,525589666.9800573,7170728350.539876,137.48917665857152,260774.28510415953,-74233446.51971932,0.3255316212829989,0,0.6660153681786903,0.050724092479534445,0.7610336373004122,0.46065794949424466
160,112421504.96354312,2218.8576090749334,0.912,0.05999112915356818,9.769962616701378e-15,56,688017334.3891555,11668244624.632013,81.76632012719114,713511.6638783334,-116586434.58176109,0.32618278980162496,0,0.4724236094998848,0.032595922016003344,0.7913440034705518,0.4927648233617201
170,220354721.2561664,2188.752925250296,0.915,0.05999904750011722,0,56,967776676.5692226,18990479179.927803,60.76906087880134,1562512.1488879477,-182412712.0276878,0.3268356910738749,0,0.37692422100581857,0.029828200953575974,0.8138645618451196,0.5549730321144785
179,529019926.8537903,2190.584059504948,0.912,0.05999987215762984,2.6645352591003757e-15,54,1361868727.0906873,29452924131.61469,46.52318743383754,3165402.647174693,-254639548.75999624,0.32742446078172144,0,0.32646214281170804,0.0167300429077362,0.840816461394276,0.6550428972708268
